VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Chaetophorura bella;(Fjellberg, 1988);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Chaetophorura/bella;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Chaoborus nyblaei;(Zetterstedt, 1838);;Animalia/Arthropoda/Insecta/Diptera/Chaoboridae/Chaoborus/nyblaei;art;Tovinger;Fastlands-Norge med havområder;> 50 %;NT;B2b(iii,iv)c(ii)
Charadrius morinellus;Linnaeus, 1758;boltit;Animalia/Chordata/Aves/Charadriiformes/Charadriidae/Charadrius/morinellus;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Chelyosoma macleayanum;Broderip & Sowerby, 1830;platesekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Corellidae/Chelyosoma/macleayanum;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Chirona hameri;(Ascanius, 1767);dypvannsrur;Animalia/Arthropoda/Maxillopoda/Sessilia/Archaeobalanidae/Chirona/hameri;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Chlamydatus evanescens;(Boheman, 1852);;Animalia/Arthropoda/Insecta/Hemiptera/Miridae/Chlamydatus/evanescens;art;Nebbmunner;Fastlands-Norge med havområder;> 50 %;LC;
Chlorostroma vestlandicum;Nordén & Læssøe;;Fungi/Ascomycota/Sordariomycetes/Xylariales/Xylariaceae/Chlorostroma/vestlandicum;art;Sopper;Fastlands-Norge med havområder;> 50 %;EN;C2a(i)
Chone ingeloreae;(Plate, 1995);;Animalia/Annelida/Polychaeta/Sabellida/Sabellidae/Chone/ingeloreae;art;Leddormer;Fastlands-Norge med havområder;> 50 %;DD;
Cima inconspiqua;Warén, 1993;;Animalia/Mollusca/Gastropoda/Unassigned/Cimidae/Cima/inconspiqua;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Cladonia krogiana;Løfall & Timdal;knauspolster;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Cladoniaceae/Cladonia/krogiana;art;Laver;Fastlands-Norge med havområder;> 50 %;NT;"A2(c)+3(c)+4(c); C1"
Clematis sibirica;(L.) Mill.;skogranke;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Clematis/sibirica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(ii,iii,iv,v)+2a(i)b(ii,iii,iv,v)
Clupea harengus;Linnaeus, 1758;sild;Animalia/Chordata/Actinopterygii/Clupeiformes/Clupeidae/Clupea/harengus;art;Fisker;Fastlands-Norge med havområder;> 50 %;LC;
Cnemidocarpa finmarkiensis;(Kiær, 1893);finnmarksekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Cnemidocarpa/finmarkiensis;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Cnemidocarpa mortenseni;(Hartmeyer, 1912);mortensensekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Cnemidocarpa/mortenseni;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Cnemidocarpa rhizopus;(Redikorzev, 1907);rotsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Cnemidocarpa/rhizopus;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Colga villosa;(Odhner, 1907);;Animalia/Mollusca/Gastropoda/Nudibranchia/Polyceridae/Colga/villosa;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Collema leptaleum;Tuck.;askeglye;Fungi/Ascomycota/Lecanoromycetes/Peltigerales/Collemataceae/Collema/leptaleum;art;Laver;Fastlands-Norge med havområder;> 50 %;CR;D1
Cordyla bomloensis;Kjærandsen & Kurina, 2004;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Cordyla/bomloensis;art;Tovinger;Fastlands-Norge med havområder;> 50 %;LC;
Corella parallelogramma;(O. F. Müller, 1776);parallellogramsekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Corellidae/Corella/parallelogramma;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
