VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Sciophila subbicuspidata;Zaitzev & Okland, 1994;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Sciophila/subbicuspidata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Sciophila zaitzevi;Bechev, 1988;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Sciophila/zaitzevi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(iii)
Sclerophora amabilis;(Tibell) Tibell;praktdoggnål;Fungi/Ascomycota/Sordariomycetes/Incertae sedis/Coniocybaceae/Sclerophora/amabilis;art;Laver;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Scomber scombrus;Linnaeus, 1758;makrell;Animalia/Chordata/Actinopterygii/Perciformes/Scombridae/Scomber/scombrus;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Scopula frigidaria;(Möschler, 1860);polarurtemåler;Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Scopula/frigidaria;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;LC;
Scotinotylus clavatus;(Schenkel, 1927);alpeedderkopp;Animalia/Arthropoda/Arachnida/Araneae/Linyphiidae/Scotinotylus/clavatus;art;Edderkoppdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Scrobipalpa reiprichi;Povolný, 1984;klippebåtmøll;Animalia/Arthropoda/Insecta/Lepidoptera/Gelechiidae/Scrobipalpa/reiprichi;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;CR;B1a(i)b(iii)
Sebastes mentella;Travin, 1951;snabeluer;Animalia/Chordata/Actinopterygii/Scorpaeniformes/Scorpaenidae/Sebastes/mentella;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Sebastes norvegicus;(Ascanius, 1772);vanlig uer;Animalia/Chordata/Actinopterygii/Scorpaeniformes/Scorpaenidae/Sebastes/norvegicus;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;EN;A2(a,b,d)
Sebastes viviparus;Krøyer, 1845;lusuer;Animalia/Chordata/Actinopterygii/Scorpaeniformes/Scorpaenidae/Sebastes/viviparus;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Serpulomyces borealis;(Romell) Zmitr.;foldeskinn;Fungi/Basidiomycota/Agaricomycetes/Amylocorticiales/Amylocorticiaceae/Serpulomyces/borealis;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Sibbaldia procumbens;L.;trefingerurt;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Sibbaldia/procumbens;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Simplocaria elongata;J. Sahlberg, 1903;;Animalia/Arthropoda/Insecta/Coleoptera/Byrrhidae/Simplocaria/elongata;art;Biller;Fastlands-Norge med havområder;25 - 50 %;NT;D2
Skeletocutis jelicii;Tortič & A. David;prikkporekjuke;Fungi/Basidiomycota/Agaricomycetes/Polyporales/Polyporaceae/Skeletocutis/jelicii;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(iii,v); C2a(i)"
Sminthurinus concolor;(Meinert, 1896);;Animalia/Arthropoda/Entognatha/Collembola/Katiannidae/Sminthurinus/concolor;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Somatochlora alpestris;(Sèlys, 1840);fjellmetallibelle;Animalia/Arthropoda/Insecta/Odonata/Corduliidae/Somatochlora/alpestris;art;Døgnfluer, øyenstikkere, steinfluer, vårfluer;Fastlands-Norge med havområder;25 - 50 %;LC;
Somatochlora sahlbergi;Trybom, 1889;tundrametallibelle;Animalia/Arthropoda/Insecta/Odonata/Corduliidae/Somatochlora/sahlbergi;art;Døgnfluer, øyenstikkere, steinfluer, vårfluer;Fastlands-Norge med havområder;25 - 50 %;DD;
Sparganium hyperboreum;Laest. ex Beurl.;fjellpiggknopp;Plantae/Magnoliophyta/Monocots/Poales/Typhaceae/Sparganium/hyperboreum;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Sphaerophoria abbreviata;Zetterstedt, 1859;kilekulehaleflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Sphaerophoria/abbreviata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum annulatum;H.Lindb. ex Warnst.;pisktorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/annulatum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum austinii;Sull.;kysttorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/austinii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum jensenii;H.Lindb.;flarktorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/jensenii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum majus;(Russow) C.E.O.Jensen;lurvtorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/majus;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum pulchrum;(Lindb. ex Braithw.) Warnst.;fagertorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/pulchrum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum quinquefarium;(Braithw.) Warnst.;lyngtorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/quinquefarium;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum strictum;Sull.;heitorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/strictum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Sphagnum subfulvum;Sjörs;lapptorvmose;Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum/subfulvum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Spirogyra schmidtii;W. & G. S. West;;Plantae/Streptophyta/Zygnematophyceae/Zygnematales/Zygnemataceae/Spirogyra/schmidtii;art;Alger;Fastlands-Norge med havområder;25 - 50 %;VU;D2
Spisula elliptica;(Brown, 1827);;Animalia/Mollusca/Bivalvia/Veneroida/Mactridae/Spisula/elliptica;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Squalus acanthias;Linnaeus, 1758;pigghå;Animalia/Chordata/Elasmobranchii/Squaliformes/Squalidae/Squalus/acanthias;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;VU;A1(b,d)
Stegonia latifolia;(Schwägr.) Venturi ex Broth.;knollmose;Plantae/Bryophyta/Bryopsida/Dicranales/Pottiaceae/Stegonia/latifolia;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;"B2b(iii); C1"
Stellaria ×alpestris;Fr.;hybridstjerneblom;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Stellaria/×alpestris;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Stellaria borealis;Bigelow;fjellstjerneblom;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Stellaria/borealis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Stenus subarcticus;Poppius, 1908;;Animalia/Arthropoda/Insecta/Coleoptera/Staphylinidae/Stenus/subarcticus;art;Biller;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Stigmella tristis;(Wocke, 1862);;Animalia/Arthropoda/Insecta/Lepidoptera/Nepticulidae/Stigmella/tristis;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;LC;
Stilomysis grandis;(Goës, 1863);;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Stilomysis/grandis;art;Krepsdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Styela coriacea;(Alder & Hancock, 1848;rødsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Styela/coriacea;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Styela rustica;(Linnaeus, 1767);tornsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Styela/rustica;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Stylaster gemmascens;(Esper, 1794);;Animalia/Cnidaria/Hydrozoa/Anthoathecata/Stylasteridae/Stylaster/gemmascens;art;Hydrozoer;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Subularia aquatica;L.;sylblad;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Subularia/aquatica;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Syarinus strandi;(Ellingsen, 1901);bergmosskorpion;Animalia/Arthropoda/Arachnida/Pseudoscorpiones/Syarinidae/Syarinus/strandi;art;Edderkoppdyr;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(ii)
Synoicum turgens;Phipps, 1774;blæresekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Polyclinidae/Synoicum/turgens;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Synplasta karelica;Zaitzev, 1993;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Synplasta/karelica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B1a(i)b(iii)+2a(i)b(iii)
Synplasta pseudingeniosa;Zaitzev, 1993;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Synplasta/pseudingeniosa;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Syntrichia norvegica;F.Weber;fjellhårstjerne;Plantae/Bryophyta/Bryopsida/Dicranales/Pottiaceae/Syntrichia/norvegica;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Syrphus attenuatus;Hine, 1922;fjellhageblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Syrphus/attenuatus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Syrphus sexmaculatus;(Zetterstedt, 1838);seksflekket hageblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Syrphus/sexmaculatus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Taraxacum simulum;Brenner;bergløvetann;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Taraxacum/simulum;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Tayloria froelichiana;(Hedw.) Mitt. ex Broth.;fjelltrompetmose;Plantae/Bryophyta/Bryopsida/Splachnales/Splachnaceae/Tayloria/froelichiana;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;"B2a((i))b(ii,iii,v); C1"
Terebratulina septentrionalis;(Couthouy, 1838);platenebbskjell;Animalia/Brachiopoda/Rhynchonellata/Terebratulida/Cancellothyrididae/Terebratulina/septentrionalis;art;Armfotinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Tetracanthella brachyura;Bagnall, 1949;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Tetracanthella/brachyura;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Tetrodontium brownianum;(Dicks.) Schwägr.;hettekimmose;Plantae/Bryophyta/Tetraphidopsida/Tetraphidales/Tetraphidaceae/Tetrodontium/brownianum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Tetrodontium repandum;(Funck) Schwägr.;piskkimmose;Plantae/Bryophyta/Tetraphidopsida/Tetraphidales/Tetraphidaceae/Tetrodontium/repandum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Thalassaphorura duplopunctata;(Strenzke, 1954);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Thalassaphorura/duplopunctata;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Thalictrum alpinum;L.;fjellfrøstjerne;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Thalictrum/alpinum;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Thalictrum kemense;Fr.;russefrøstjerne;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Thalictrum/kemense;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;B1a((i))b(iii)+2a((i))b(iii)
Thanatus arcticus;Thorell, 1872;arktisspringer;Animalia/Arthropoda/Arachnida/Araneae/Philodromidae/Thanatus/arcticus;art;Edderkoppdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Themira malformans;Melander & Spuler, 1917;;Animalia/Arthropoda/Insecta/Diptera/Sepsidae/Themira/malformans;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Thinobius brundini;Scheerpeltz, 1959;;Animalia/Arthropoda/Insecta/Coleoptera/Staphylinidae/Thinobius/brundini;art;Biller;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Thinobius munsteri;Scheerpeltz, 1959;;Animalia/Arthropoda/Insecta/Coleoptera/Staphylinidae/Thinobius/munsteri;art;Biller;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Thracia gracilis;Jeffreys, 1865;;Animalia/Mollusca/Bivalvia/Anomalodesmata/Thraciidae/Thracia/gracilis;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Thracia myopsis;(Møller, 1842);;Animalia/Mollusca/Bivalvia/Anomalodesmata/Thraciidae/Thracia/myopsis;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Timmia comata;Lindb. & Arnell;grannsliremose;Plantae/Bryophyta/Bryopsida/Timmiales/Timmiaceae/Timmia/comata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;"B2a((i))b(ii,iii,v); C1+2a(i)"
Timmia norvegica;J.E.Zetterst.;vortesliremose;Plantae/Bryophyta/Bryopsida/Timmiales/Timmiaceae/Timmia/norvegica;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Tipula laccata;Lundström & Frey, 1916;;Animalia/Arthropoda/Insecta/Diptera/Tipulidae/Tipula/laccata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Tipula laetibasis;Alexander, 1934;;Animalia/Arthropoda/Insecta/Diptera/Tipulidae/Tipula/laetibasis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Tipula middendorffi;Lackschewitz, 1936;;Animalia/Arthropoda/Insecta/Diptera/Tipulidae/Tipula/middendorffi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Tipula salicetorum;Siebke, 1870;;Animalia/Arthropoda/Insecta/Diptera/Tipulidae/Tipula/salicetorum;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Tipula subexcisa;Lundström, 1907;;Animalia/Arthropoda/Insecta/Diptera/Tipulidae/Tipula/subexcisa;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Tipula trispinosa;Lundström, 1907;;Animalia/Arthropoda/Insecta/Diptera/Tipulidae/Tipula/trispinosa;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Trematodon brevicollis;Hornsch.;aurtranemose;Plantae/Bryophyta/Bryopsida/Dicranales/Bruchiaceae/Trematodon/brevicollis;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;B2a(i)b(iii)
Tricholoma apium;Jul. Schäff.;lakrismusserong;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Tricholomataceae/Tricholoma/apium;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1+2a(i)
Tricholoma borgsjoeënse;Jacobsson & Muskos;dystermusserong;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Tricholomataceae/Tricholoma/borgsjoeënse;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C2a(i)
Tricholoma colossus;(Fr.) Quél.;kjempemusserong;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Tricholomataceae/Tricholoma/colossus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;LC;
Tricholoma dulciolens;Kytöv.;grankransmusserong;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Tricholomataceae/Tricholoma/dulciolens;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii,iv); C2a(i)"
Tricholoma ilkkae;Mort. Chr., Heilm.-Claus., Ryman & Niclas Bergius;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Tricholomataceae/Tricholoma/ilkkae;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii,iv); C2a(i)"
Tricholoma olivaceotinctum;Heilm.-Claus. & Mort. Chr.;oliven skjellmusserong;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Tricholomataceae/Tricholoma/olivaceotinctum;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C2a(i)
Trichonta delicata;Gagné, 1981;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Trichonta/delicata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2a((i))b(iii)
Trichonta tristis;(Strobl, 1898);;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Trichonta/tristis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Trisetum spicatum;(L.) K.Richt.;svartaks;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Trisetum/spicatum;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Trisetum subalpestre;(Hartm.) Neuman;kveinhavre;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Trisetum/subalpestre;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;"A2(a,c); B2a(i)b(iii,v)"
Trisopterus esmarkii;(Nilsson, 1855);øyepål;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Trisopterus/esmarkii;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Tubulicrinis effugiens;(Bourdot & Galzin) Oberw.;;Fungi/Basidiomycota/Agaricomycetes/Hymenochaetales/Tubulicrinaceae/Tubulicrinis/effugiens;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Turdus pilaris;Linnaeus, 1758;gråtrost;Animalia/Chordata/Aves/Passeriformes/Turdidae/Turdus/pilaris;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Vahlodea atropurpurea;(Wahlenb.) Fr. ex Hartm.;rypebunke;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Vahlodea/atropurpurea;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Veronica fruticans;Jacq.;bergveronika;Plantae/Magnoliophyta/Eudicots/Lamiales/Plantaginaceae/Veronica/fruticans;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Vertigo ultimathule;von Proschwitz, 2007;lappknøttsnegl;Animalia/Mollusca/Gastropoda/Pulmonata/Vertiginidae/Vertigo/ultimathule;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;DD;
Viola epipsiloides;Á.Löve & D.Löve;;Plantae/Magnoliophyta/Eudicots/Malpighiales/Violaceae/Viola/epipsiloides;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Viola selkirkii;Pursh ex Goldie;dalfiol;Plantae/Magnoliophyta/Eudicots/Malpighiales/Violaceae/Viola/selkirkii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;A4(b,c)
Xanthomendoza borealis;(R.Sant. & Poelt ) Søchting et al.;fjellmessinglav;Fungi/Ascomycota/Lecanoromycetes/Teloschistales/Teloschistaceae/Xanthomendoza/borealis;art;Laver;Fastlands-Norge med havområder;25 - 50 %;LC;
Xylographa opegraphella;Rothr.;;Fungi/Ascomycota/Lecanoromycetes/Agyriales/Agyriaceae/Xylographa/opegraphella;art;Laver;Fastlands-Norge med havområder;25 - 50 %;LC;
Xylota suecica;(Ringdahl, 1943);svart vedblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Xylota/suecica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B1b(iii)+2b(iii)
Yoldiella frigida;(Torell, 1859);;Animalia/Mollusca/Bivalvia/Nuculanoida/Yoldiidae/Yoldiella/frigida;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Yoldiella lenticula;(Møller, 1842);;Animalia/Mollusca/Bivalvia/Nuculanoida/Yoldiidae/Yoldiella/lenticula;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
×Arctodupontia scleroclada;(Rupr.) Tzvelev;kongsfjordgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/×Arctodupontia/scleroclada;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;B1a(i)b(iii,iv,v)+2a(i)b(iii,iv,v)
×Pucciphippsia vacillans;(Th.Fr.) Tzvelev;svalbardgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/×Pucciphippsia/vacillans;art;Karplanter (Svalbard);Svalbard;> 50 %;VU;B2a((i))b(iii)
Alopecurus ovatus;Knapp;polarreverumpe;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Alopecurus/ovatus;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Anser brachyrhynchus;Baillon, 1834;kortnebbgås;Animalia/Chordata/Aves/Anseriformes/Anatidae/Anser/brachyrhynchus;art;Fugler (Svalbard);Svalbard;> 50 %;LC;
Arctophila fulva;(Trin.) Andersson;hengegras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Arctophila/fulva;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Arenaria pseudofrigida;(Ostenf. & O.C.Dahl) Juz. ex Schischk. & Knorring;kalkarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Arenaria/pseudofrigida;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Botrychium onondagense;Underw.;;Plantae/Psilophyta/Psilotopsida/Ophioglossales/Ophioglossaceae/Botrychium/onondagense;art;Karplanter (Svalbard);Svalbard;> 50 %;CR;D1
Branta bernicla;(Linnaeus, 1758);ringgås;Animalia/Chordata/Aves/Anseriformes/Anatidae/Branta/bernicla;art;Fugler (Svalbard);Svalbard;> 50 %;NT;D1
Braya purpurascens;(R.Br.) Bunge ex Ledeb.;purpurkarse;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Braya/purpurascens;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Calamagrostis purpurascens;R.Br.;stepperørkvein;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Calamagrostis/purpurascens;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;B1a(i)b(ii,iii,v)+2a(i)b(ii,iii,v)
Carex ×lidii;Hadač;lidstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/×lidii;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;B2a(i)b(iii)
Carex marina;Dewey;;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/marina;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;"B1a(i)b(ii,iii,v)+2a(i)b(ii,iii,v); D1"
Carex ursina;Dewey;isbjørnstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/ursina;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Cerastium arcticum;Lange;tundraarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Cerastium/arcticum;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Cerastium regelii;Ostenf.;polararve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Cerastium/regelii;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Cochlearia groenlandica;L.;polarskjørbuksurt;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Cochlearia/groenlandica;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Coptidium ×spitsbergense;(Hadac) Luferov & Prob.;svalbardsoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Coptidium/×spitsbergense;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;"A3(c,e); B2b(ii,iii,iv,v)"
Coptidium pallasii;(Schltdl.) Tzvelev;glinsesoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Coptidium/pallasii;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;B1a(i)b(i,ii,iii,iv,v)+2a(i)b(i,ii,iii,iv,v)
Deschampsia sukatschewii;(Popl.) Roshev.;;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Deschampsia/sukatschewii;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;"A3(c,e); B2b(ii,iii,iv,v)"
Draba arctica;J.Vahl;melrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/arctica;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Draba corymbosa;R.Br. ex DC.;puterublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/corymbosa;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Draba micropetala;Hook.;polarrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/micropetala;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Draba pauciflora;R.Br.;tundrarublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/pauciflora;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Draba subcapitata;Simmons;halvkulerublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/subcapitata;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Dupontia fisheri;R.Br.;tundragras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Dupontia/fisheri;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c)
Eriophorum ×sorensenii;Raymond;svalbardull;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Eriophorum/×sorensenii;art;Karplanter (Svalbard);Svalbard;> 50 %;VU;B2a((i))b(iii)
Eriophorum triste;(Th.Fr.) Hadač & Á.Löve;svartull;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Eriophorum/triste;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Eutrema edwardsii;R.Br.;polarreddik;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Eutrema/edwardsii;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Festuca baffinensis;Polunin;hårsvingel;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Festuca/baffinensis;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Festuca brachyphylla;Schult. & Schult. f.;bergsvingel;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Festuca/brachyphylla;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Festuca edlundiae;S.G.Aiken, Consaul & Lefk.;stuttsvingel;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Festuca/edlundiae;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Festuca frederikseniae;E.B.Alexeev;grønlandssvingel;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Festuca/frederikseniae;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;D1
